text,label
can i use cash to top up my account,top_up_by_cash_or_cheque
can i get a card if i live in the us,country_support
why isn't my google top-up pay working,apple_pay_or_google_pay
i would like to receive my salary in a different currency how does that work,receiving_money
if i see a payment in the app that i don't recognize what should i do,card_payment_not_recognised
why am i being charged for transfers are they not free,transfer_fee_charged
i recently bought an item using my card and i was charged an extra fee why is this,card_payment_fee_charged
what do i need to do to correct this failed transfer,failed_transfer
how much does it cost to get a new card mine is almost expired how fast does it come,card_about_to_expire
how do i get money from friends,receiving_money
where can i find an atm to use this card,atm_support
can i change my information,edit_personal_details
please tell me why i was charged additionally when i used the card,card_payment_fee_charged
why has my transfer not arrived yet,transfer_not_received_by_recipient
what is the procedure for me to get more cards on my account,getting_spare_card
how much do you charge to accept transfers,top_up_by_bank_transfer_charge
how can people transfer money to me,receiving_money
the application reverted my top-up,top_up_reverted
what locations are you in,country_support
what age do i have to be,age_limit
my pin isn't here yet,get_physical_card
how do i get my paycheck through this,receiving_money
i'm trying to activate the auto-top up function where is it,automatic_top_up
can i receive transfers from my employer to this account,receiving_money
please show me how my friend can send me money,receiving_money
i will need to exchange currencies frequently will i be able to get a discount,exchange_charge
how will i know where my funds are coming from,verify_source_of_funds
what do i do if i can't get my card out of the atm,card_swallowed
hi i have been transferring money to my friends since morning but all my transactions were getting failed can you please look into this issue,failed_transfer
the exchange rate applied is wrong for my international purchase,card_payment_wrong_exchange_rate
i was charged more when i transferred,transfer_fee_charged
can you tell me why a refund i'm owed is not showing on my statement,Refund_not_showing_up
the exchange rate you are using is really bad this can't possibly be the official interbank exchange rate,card_payment_wrong_exchange_rate
what is the average pending time for a transaction,pending_transfer
how do i link one of your card that i already have,card_linking
will i be able to track the card that was sent to me,card_arrival
why do i have to give you my drivers license,why_verify_identity
how do i change the details in my account,edit_personal_details
what do i do if it says my card payment has been cancelled,reverted_card_payment?
my top up has been pending for an hour already and i really need this to go through as soon as possible can you help,pending_top_up
can i use my account although the identity verification has not been accepted yet,why_verify_identity
i tried to top up using my card but now the money just disappeared,topping_up_by_card
do you limit my top-offs,top_up_limits
i was charged more than once for a card payment i made,transaction_charged_twice
am i allowed to transfer money to a beneficiary,beneficiary_not_allowed
why isn't my top up showing was the money reversed,top_up_reverted
